Lat,Lon,MRMSrain,RAPrain,WindSpeed,woro,Q
47.75,-123.95,0.0567,0,2.4849579334259,NaN,-1.93730258502001e-08
47.75,-123.75,0.0155,0.719999969005585,2.4401216506958,0.0510562025010586,1.46237084663881e-08
40.65,-123.75,0,0,8.0144157409668,0.0824395045638084,-1.77133870238322e-07
40.55,-123.75,0,0,7.8159646987915,0.126390010118484,-2.09649201110551e-07
40.55,-123.65,0,0,7.8159646987915,0.126390010118484,-2.09649201110551e-07
42.55,-123.55,0,0,6.5322642326355,-0.0117591610178351,2.32021534429805e-07
42.35,-123.55,0,0,8.19249439239502,0.0474358685314655,2.27354490789367e-07
42.25,-123.55,0,0,7.89372825622559,-0.0195691101253033,1.93212883914384e-07
40.35,-123.55,0,0,6.78657341003418,0.171819418668747,-1.24282095725903e-07
40.25,-123.55,0,0,7.45054244995117,NaN,-1.13576795968129e-07
40.15,-123.55,0,0,7.45054244995117,NaN,-1.13576795968129e-07
40.05,-123.55,0,0,7.40854358673096,NaN,-2.82144902996606e-08
47.75,-123.45,0.0011,0,2.33827996253967,NaN,2.27429310939442e-08
42.95,-123.45,0,0,3.99359822273254,-0.0726628750562668,4.95342931117193e-08
42.65,-123.45,0,0,6.5322642326355,-0.0117591610178351,2.32021534429805e-07
42.55,-123.45,0,0,6.5322642326355,-0.0117591610178351,2.32021534429805e-07
42.45,-123.45,0,0,6.62021398544312,-0.044089175760746,2.58643808592751e-07
42.35,-123.45,0,0,6.51375865936279,-0.149451896548271,3.69581272252617e-07
42.25,-123.45,0,0,6.26351118087769,-0.0896994918584824,4.06850574563578e-07
40.35,-123.45,0,0,6.78657341003418,0.171819418668747,-1.24282095725903e-07
40.15,-123.45,0,0,6.69067907333374,0.0597387552261353,-5.00167161021636e-08
40.05,-123.45,0,0,6.69067907333374,0.0597387552261353,-5.00167161021636e-08
39.95,-123.45,0,0,6.74754619598389,0.0564106553792953,2.45551206035088e-08
39.85,-123.45,0,0,7.35547161102295,NaN,7.66938157426011e-08
39.75,-123.45,0,0,7.31395053863525,NaN,8.53214885410125e-08
47.75,-123.35,0.0058,0,2.33827996253967,NaN,2.27429310939442e-08
42.95,-123.35,0,1.80000007152557,2.67638111114502,-0.0330758541822433,1.87216926406109e-07
42.65,-123.35,0,0,4.78370761871338,0.0241574440151453,1.51208155330096e-07
42.55,-123.35,0,0,4.8342022895813,0.00313191581517458,2.59077239661565e-07
42.45,-123.35,0,0,4.74137449264526,0.00944744423031807,4.1528019778525e-07
42.35,-123.35,0,0,6.51375865936279,-0.149451896548271,3.69581272252617e-07
42.25,-123.35,0,0,6.26351118087769,-0.0896994918584824,4.06850574563578e-07
